# logT  f_HII  f_OIII
3.698970004336018746e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.709749528134675511e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.720529051933331832e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.731308575731988597e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.742088099530644918e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.752867623329301683e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.763647147127958448e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.774426670926614769e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.785206194725271533e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.795985718523928298e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.806765242322584619e+00 1.020992561235700159e-04 0.000000000000000000e+00
3.817544766121241384e+00 1.020992561235700159e-04 0.000000000000000000e+00
3.828324289919897705e+00 1.020992561235700159e-04 0.000000000000000000e+00
3.839103813718554470e+00 1.020992561235700159e-04 0.000000000000000000e+00
3.849883337517211235e+00 1.020992561235700159e-04 0.000000000000000000e+00
3.860662861315867556e+00 1.020992561235700159e-04 0.000000000000000000e+00
3.871442385114524320e+00 1.020992561235700159e-04 0.000000000000000000e+00
3.882221908913180641e+00 1.020992561235700159e-04 0.000000000000000000e+00
3.893001432711837406e+00 1.020992561235700159e-04 0.000000000000000000e+00
3.903780956510494171e+00 1.020992561235700159e-04 0.000000000000000000e+00
3.914560480309150492e+00 1.020992561235700159e-04 0.000000000000000000e+00
3.925340004107807257e+00 1.020992561235700159e-04 0.000000000000000000e+00
3.936119527906464022e+00 1.020992561235700159e-04 0.000000000000000000e+00
3.946899051705120343e+00 1.020992561235700159e-04 0.000000000000000000e+00
3.957678575503777108e+00 1.020992561235700159e-04 0.000000000000000000e+00
3.968458099302433428e+00 1.020992561235700159e-04 0.000000000000000000e+00
3.979237623101090193e+00 2.876072701239044179e-04 0.000000000000000000e+00
3.990017146899746958e+00 1.113722433728458897e-03 0.000000000000000000e+00
4.000796670698403723e+00 1.960599003660720100e-03 0.000000000000000000e+00
4.011576194497060044e+00 2.966645775547132550e-03 0.000000000000000000e+00
4.022355718295716365e+00 4.454504584237104631e-03 0.000000000000000000e+00
4.033135242094373574e+00 6.610783534964376033e-03 2.881232340453005104e-16
4.043914765893029895e+00 9.701425546524526655e-03 2.721548899086841850e-15
